u_mag,g_mag,r_mag,i_mag,z_mag,cat
19.185345,17.30707,16.601259,16.393364,16.253302,star
17.89365,16.014212,15.326594,15.122463,15.007486,star
17.360006,16.083242,15.617717,15.458741,15.408022,star
17.83485,16.490793,15.952526,15.774964,15.716972,star
19.663969,17.160213,15.98983,15.577009,15.340199,star
18.530085,16.493641,15.72429,15.429799,15.32674,star
18.939505,17.536751,17.036549,16.837742,16.788017,star
19.494858,17.285816,16.428535,16.060675,15.926153,star
19.555836,17.624506,16.995047,16.757963,16.708145,star
19.386648,17.919657,17.335615,17.052179,16.939484,star
19.76498,17.137611,15.980868,15.555082,15.354228,star
19.614656,17.19899,16.123474,15.681391,15.527957,star
16.942945,15.641142,15.207497,15.068702,15.072128,star
16.869745,15.680593,15.277184,15.20057,15.196803,star
18.517517,16.816099,16.217804,15.991133,15.949443,star
19.057924,17.814562,17.395422,17.26519,17.277548,star
18.62578,17.620932,17.3902,17.329327,17.338968,star
19.869886,17.362816,16.249971,15.807895,15.658381,star
20.412039,17.848854,16.386599,15.582955,15.18599,star
18.964687,17.373672,16.819902,16.589773,16.447655,star
18.31374,16.780579,16.283318,16.12479,16.093487,star
19.036953,17.90136,17.707554,17.606346,17.714857,star
17.318247,16.23003,15.864549,15.725733,15.704926,star
17.66699,16.07902,15.538475,15.366304,15.313726,star
17.847031,16.625347,16.174049,15.996408,15.917717,star
18.89048,16.755863,15.922439,15.633537,15.506411,star
18.032488,16.86618,16.488537,16.359398,16.272497,star
19.212795,17.986967,17.498785,17.342072,17.261414,star
16.984034,15.83876,15.480555,15.334954,15.29448,star
17.950193,16.742523,16.330845,16.132423,16.119759,star
17.654612,16.599854,16.235828,16.086149,16.074078,star
18.966906,16.981459,16.265497,15.917465,15.784346,star
19.60099,17.059505,15.932835,15.491552,15.250054,star
17.686111,16.209719,15.663004,15.463229,15.367812,star
17.757172,16.700733,16.359209,16.203417,16.186184,star
19.276587,17.987371,17.488018,17.296738,17.213753,star
18.493355,16.787767,16.120825,15.896061,15.761302,star
20.045881,17.776724,16.817652,16.510719,16.333801,star
18.632669,16.486675,15.55827,15.216899,15.025755,star
20.085493,17.741201,16.736818,16.363897,16.070456,star
18.182661,16.94478,16.488787,16.326756,16.282894,star
18.703098,17.252745,16.70344,16.501076,16.421972,star
18.354885,17.151758,16.63982,16.466656,16.381189,star
19.182432,17.445623,16.775656,16.6101,16.465021,star
19.17387,17.838564,17.323093,17.173243,17.050777,star
18.223379,17.105238,16.736319,16.546114,16.621248,star
18.803114,17.948099,17.632486,17.525045,17.48078,star
19.957733,17.309298,16.152351,15.66451,15.358212,star
18.27286,17.379383,17.178343,17.113295,17.079765,star
18.528194,16.697409,15.98352,15.748357,15.663429,star
18.189951,16.420019,15.820323,15.545712,15.419997,star
17.19453,16.03875,15.609221,15.425111,15.339667,star
17.103323,16.162455,15.793494,15.687959,15.656246,star
20.133139,17.984276,17.196035,16.932301,16.754473,star
20.117018,17.576178,16.362057,15.915828,15.66322,star
20.306168,17.872198,16.745062,16.295576,16.10247,star
18.665688,17.286102,16.737616,16.529915,16.427431,star
18.587019,17.412642,16.977331,16.803068,16.708525,star
19.070948,17.870859,17.437109,17.266335,17.180649,star
18.552139,17.424313,17.096704,16.959898,16.943031,star
20.445808,17.976049,16.959364,16.568428,16.381445,star
17.85009,16.714724,16.405863,16.308727,16.200249,star
18.337051,17.110144,16.664885,16.501646,16.442532,star
19.586634,16.984678,15.858336,15.423106,15.203546,star
18.762041,17.791168,17.522551,17.434858,17.409597,star
18.55274,17.496679,17.157425,17.030163,16.969599,star
19.763098,17.881462,17.154879,16.879076,16.748739,star
16.957458,15.747527,15.26073,16.333279,15.015157,star
18.747919,17.402069,16.882946,16.644461,16.532536,star
17.025557,15.768666,15.324935,15.155535,15.131536,star
17.130453,16.293938,16.02809,15.935175,15.913962,star
18.66778,16.797939,16.02141,15.710502,15.596268,star
18.474903,17.334511,16.871738,16.676184,16.647945,star
17.06712,15.851478,15.404222,15.286002,15.254862,star
18.736149,17.919806,17.612925,17.498848,17.470053,star
18.353699,17.195374,16.745367,16.6084,16.545145,star
18.378784,16.899918,16.34598,16.163162,16.101406,star
18.707293,17.04302,16.365391,16.093658,15.970222,star
18.771936,17.143061,16.450327,16.228168,16.118023,star
17.558903,16.429363,16.02051,15.880724,15.837339,star
18.655272,16.831259,16.15823,15.95657,15.868154,star
17.608248,16.459188,16.032925,15.865183,15.832159,star
17.393744,16.266655,15.869626,15.724429,15.707621,star
16.953535,15.916294,15.553092,15.421179,15.42599,star
18.0261,16.727491,16.243711,16.07778,15.996863,star
18.04031,16.785666,16.335909,16.194916,16.108496,star
20.286177,17.629028,16.257353,15.618394,15.315303,star
17.869957,16.430431,15.866571,15.654889,15.649948,star
18.791508,17.779402,17.559711,17.446096,17.522373,star
18.854757,17.298504,16.766178,16.59927,16.550678,star
20.43812,17.774815,16.6383,16.148872,15.81223,star
17.950718,16.584387,16.059856,15.860809,15.818509,star
17.346218,16.313707,15.905754,15.780612,15.745622,star
18.596462,17.431261,17.039665,16.897682,16.825382,star
19.538445,17.429354,16.636253,16.378054,16.229136,star
20.058283,17.804756,16.962399,16.619061,16.423784,star
18.731394,16.699024,15.944524,15.637682,15.467419,star
20.385622,17.822584,16.738195,16.304861,16.029547,star
19.896549,17.390661,16.22925,15.745769,15.459096,star
19.148542,17.895092,17.377132,17.179224,17.073803,star
18.748581,17.236235,16.586679,16.333992,16.140661,star
18.91128,16.648695,15.704874,15.369082,15.198767,star
20.169254,17.824009,16.862085,16.476185,16.255951,star
17.089943,16.069687,15.744021,15.630486,15.570364,star
17.882587,16.793232,16.440977,16.221056,16.272169,star
16.705259,15.845749,15.652268,15.563484,15.563666,star
19.107924,17.624435,17.118225,16.92815,16.84391,star
19.141214,17.480431,16.810925,16.572857,16.466822,star
18.169809,16.239979,15.532351,15.283616,15.169936,star
19.471247,17.813854,17.183134,16.955811,16.84203,star
18.722591,17.452494,16.995245,16.826551,16.783001,star
20.106461,17.744728,16.705402,16.300167,16.036114,star
18.43626,17.160917,16.768436,16.554504,16.498947,star
18.394403,17.235413,16.789289,16.653522,16.578814,star
19.062746,17.899509,17.511795,17.272842,17.244387,star
18.953224,17.785521,17.351521,17.209213,17.183344,star
18.179806,17.066498,16.642445,16.508829,16.434999,star
17.123589,16.035357,15.651999,15.551599,15.51271,star
19.232891,17.649616,17.054348,16.864725,16.735083,star
18.932859,17.554209,17.032518,16.869717,16.803877,star
17.793165,16.695894,16.227631,16.03117,16.036049,star
18.650848,17.509714,17.116526,17.01412,16.950243,star
18.62565,17.655275,17.309042,17.152243,17.137808,star
19.49411,17.947161,17.35684,17.131859,17.05666,star
18.579199,16.631269,15.86782,15.614303,15.480698,star
18.952047,17.81208,17.368101,17.226425,17.095352,star
19.376585,17.907139,17.278353,17.010603,16.875582,star
17.96306,16.775002,16.343277,16.234774,16.147051,star
19.197567,17.507092,16.837942,16.584318,16.458975,star
18.132019,16.643295,16.02829,15.80868,15.706031,star
18.303764,16.911543,16.379385,16.17708,16.092476,star
18.442278,17.126551,16.592566,16.434902,16.348404,star
18.978939,17.328272,16.7185,16.548409,16.416759,star
19.455751,17.921257,17.384136,17.175131,17.05324,star
19.752842,17.920959,17.285734,17.007961,16.871536,star
18.766745,17.406759,17.102024,16.9842,16.908871,star
19.779596,17.146374,15.87722,15.302592,15.02189,star
19.250666,17.736305,17.139166,16.926266,16.792681,star
19.423647,17.923771,17.366001,17.145699,16.980682,star
17.336784,15.944209,15.435458,15.355819,15.135395,star
19.103422,17.344015,16.729445,16.499723,16.394775,star
19.881893,17.441557,16.383078,15.965029,15.754816,star
17.832439,16.477749,15.977764,15.811205,15.735384,star
20.088772,17.446987,16.133329,15.597601,15.339636,star
18.660736,17.534935,17.086147,16.915903,16.86886,star
18.934088,17.867516,17.532606,17.38788,17.330013,star
19.482952,17.583656,16.8571,16.624548,16.442873,star
19.084204,16.882187,16.022017,15.710164,15.552855,star
18.749594,16.518024,15.644648,15.323376,15.166621,star
18.806629,17.548122,17.090483,16.921259,16.85136,star
17.152193,15.964345,15.509356,15.342072,15.314282,star
18.723679,17.730957,17.332161,17.206144,17.134098,star
18.994005,17.922482,17.503487,17.369152,17.34697,star
18.983961,17.287148,16.581959,16.34017,16.171309,star
17.499489,16.272158,15.802229,15.644176,15.645781,star
17.249767,15.891166,15.375118,15.204101,15.147026,star
17.15349,15.896464,15.361351,15.176961,15.082554,star
19.186535,17.185511,16.422634,16.134476,16.002449,star
19.053947,17.30781,16.600298,16.349115,16.193506,star
19.268311,17.978745,17.548882,17.420912,17.358253,star
17.945141,16.203043,15.950604,15.825637,15.68343,star
17.481787,16.255314,15.816139,15.711328,15.60539,star
20.503483,17.873653,16.586437,15.793768,15.293203,star
17.881639,16.731634,16.316042,16.158543,16.156834,star
17.496605,16.353357,15.936577,15.780431,15.751756,star
19.389793,17.975187,17.448269,17.275938,17.187933,star
20.237015,17.525728,16.228024,15.536757,15.202822,star
19.174877,17.794746,17.173918,16.930126,16.840382,star
20.400213,17.942585,16.798983,16.365431,16.136934,star
19.23436,17.380968,16.502785,16.225994,16.085304,star
20.135412,17.707491,16.611048,16.577177,15.982297,star
18.006069,16.995459,16.661377,16.501657,16.505838,star
18.023684,16.619144,16.012417,15.805654,15.737241,star
18.824762,17.511292,17.015596,16.832129,16.754276,star
18.841215,16.729528,15.909443,15.632228,15.479025,star
17.595472,16.568338,16.206139,16.124573,16.131151,star
20.409185,17.80571,16.615685,16.168688,15.936159,star
17.367723,15.914138,15.28672,15.072874,15.01823,star
19.384193,17.797716,17.141964,17.100782,16.882828,star
17.787107,16.604422,16.268597,16.137169,16.07452,star
19.055506,17.359293,16.68466,16.433636,16.247105,star
20.103291,17.872929,16.877972,16.485178,16.226734,star
18.657906,17.024488,16.415005,16.162176,16.059052,star
17.488636,16.085932,15.571505,15.372384,15.315258,star
17.707609,16.565285,16.231255,16.059912,16.032211,star
20.463989,17.892267,16.68362,16.1989,15.948688,star
18.790525,17.631023,17.117683,16.930017,16.818769,star
19.400314,17.06254,15.875041,15.402014,15.113605,star
17.39809,16.349453,16.004681,15.872499,15.851494,star
19.692101,17.625172,16.730362,16.397987,16.242527,star
18.249794,17.420202,17.12022,17.025192,17.021736,star
18.832575,16.613539,15.677734,15.32858,15.124675,star
17.885233,16.187033,15.503856,15.220114,15.105505,star
17.843359,16.67181,16.179054,16.006613,15.943502,star
18.963011,17.101898,16.399706,16.198986,16.094477,star
18.426849,16.832335,16.189739,15.938438,15.758739,star
18.426279,17.263525,17.157673,17.149496,17.139128,star
19.845121,17.841389,16.989408,16.713627,16.545074,star
17.467958,16.352345,16.22999,16.221395,16.288839,star
19.287737,17.996302,17.517662,17.284685,17.211569,star
19.116852,16.799809,15.859614,15.524484,15.393232,star
19.398664,17.935041,17.464102,17.285839,17.150537,star
17.970995,16.734135,16.101151,15.862271,15.726251,star
18.260427,17.285263,17.000877,16.89847,16.908587,star
18.910069,17.829029,17.407181,17.309084,17.325712,star
18.023329,16.698467,16.237244,16.074339,16.084467,star
17.151052,15.980442,15.595318,15.420118,15.416551,star
17.763105,16.824106,16.532103,16.449039,16.408432,star
19.634912,17.992746,17.415419,17.169584,17.108459,star
18.736971,17.718315,17.432987,17.34148,17.332966,star
19.952267,17.541931,16.468027,16.061766,15.859344,star
18.416353,16.892281,16.273548,16.067072,15.989591,star
17.515812,16.384094,16.006588,15.899467,15.884932,star
17.491035,16.426348,16.044113,15.900999,15.835687,star
17.420198,16.451403,16.102257,15.96142,15.936837,star
19.174944,17.313145,16.587185,16.371233,16.24189,star
19.176699,17.669399,17.0924,16.870016,16.817024,star
18.246641,17.363926,17.051323,16.920849,16.930452,star
19.531521,17.641731,16.929344,16.657555,16.541401,star
18.476301,17.472837,17.08972,16.923452,16.884226,star
18.337729,17.424101,17.100874,16.987173,16.938597,star
19.546494,17.990366,17.404547,17.191648,17.047855,star
18.761841,17.503422,17.11912,16.908974,16.831472,star
19.252193,17.383478,16.689484,16.456768,16.311508,star
17.297617,15.897597,15.384308,15.171724,15.089793,star
17.78932,16.624619,16.197834,16.00149,15.940591,star
19.989885,17.676584,16.596758,16.172873,15.917861,star
17.669193,16.257778,15.715383,15.540572,15.452482,star
18.257624,17.366791,17.152891,17.067158,17.043743,star
17.402832,16.101013,15.64807,15.491305,15.448141,star
19.703016,17.163248,16.048416,15.625725,15.387624,star
18.647724,17.158628,16.636871,16.480129,16.396942,star
18.638571,17.574169,17.174038,16.937237,16.812819,star
19.470884,17.852026,17.231468,16.9848,16.880995,star
19.742249,17.301781,16.058004,15.811768,15.2416,star
18.028929,17.207388,16.961063,16.859835,16.851948,star
17.007505,15.673067,15.218996,15.047653,15.010244,star
19.254694,17.533705,16.895414,16.635454,16.543959,star
18.018961,16.43387,15.875058,15.657537,15.560273,star
17.822327,16.879827,16.615997,16.364775,16.454554,star
17.654631,16.503078,16.117283,15.990913,15.946107,star
18.151237,17.060843,16.607548,16.497458,16.462753,star
19.740852,17.201477,16.071045,15.604674,15.337404,star
18.262203,16.787884,16.218849,16.004572,15.883739,star
19.451185,17.055138,15.910319,15.447351,15.160594,star
18.54879,16.657784,15.909431,15.620525,15.486176,star
19.317644,17.153637,16.278784,15.971648,15.809527,star
18.196257,16.860237,16.271702,16.034042,15.933207,star
17.208824,15.813915,15.293736,15.100546,15.071459,star
20.264194,17.60454,16.425838,15.962483,15.73985,star
19.530939,17.389975,16.490707,16.145676,15.967927,star
16.294054,15.317455,15.546171,15.739834,15.880786,star
19.497547,17.237108,16.341982,16.05649,15.852234,star
19.063379,16.988064,16.181866,15.878822,15.744311,star
20.098162,17.689785,16.751997,16.45145,16.273062,star
18.978601,17.650991,17.193914,17.016266,16.945332,star
18.395088,16.289421,15.489154,15.268843,15.106847,star
19.025648,17.457897,16.822998,16.59811,16.529314,star
19.492983,17.855389,17.262449,17.025621,16.971901,star
18.637772,16.887695,16.296143,16.068987,16.0114,star
20.568546,17.979597,16.602234,15.974279,15.682179,star
19.803318,17.240625,16.045469,15.562841,15.31417,star
18.266321,17.13036,16.738581,16.604631,16.546721,star
17.089048,15.891239,15.431193,15.271554,15.204518,star
18.638376,17.610178,17.252861,17.131651,17.102871,star
18.348991,17.238722,16.850819,16.700289,16.688478,star
19.219959,17.836367,17.237389,16.952602,16.769085,star
18.487879,16.447447,15.693547,15.49509,15.370727,star
19.7472,17.810575,16.9725,16.665668,16.483309,star
20.302536,17.743799,16.604986,16.165895,15.976555,star
20.033268,17.691122,16.752842,16.440458,16.259335,star
18.638247,17.667896,17.359529,17.288185,17.24579,star
17.317221,16.125269,15.716519,15.579709,15.550019,star
18.222511,17.022911,16.554575,16.370525,16.331446,star
19.61694,17.730986,17.02383,16.808359,16.683105,star
18.802103,17.692945,17.253012,17.059837,17.04804,star
18.935741,16.795208,15.908393,15.605602,15.359076,star
17.499775,16.093884,15.626471,15.537843,15.439648,star
18.23439,16.678661,16.11187,15.964328,15.829942,star
18.061407,16.83519,16.407326,16.273441,16.14329,star
19.792896,17.533644,16.461405,16.156353,15.86552,star
18.076893,16.352783,15.688457,15.573179,15.352135,star
19.632895,17.486851,16.604105,16.468664,15.978802,star
17.624189,16.624008,16.21117,16.097965,16.015339,star
18.067837,16.947937,16.48844,16.339731,16.309851,star
17.867407,16.924498,16.626562,16.592186,16.433727,star
18.672066,16.897436,16.226828,16.04442,15.816936,star
19.182827,17.887308,17.423349,17.263401,17.158182,star
17.720837,16.486666,16.065762,15.95564,15.896996,star
17.740414,16.785755,16.470888,16.31868,16.23431,star
19.125458,17.419739,16.725847,16.563421,16.373209,star
18.531013,17.009296,16.474617,16.281891,16.214756,star
19.214739,17.949879,17.40185,17.214352,17.107134,star
19.019958,17.296181,16.637341,16.404167,16.259836,star
18.452629,17.567369,17.300194,17.191761,17.134457,star
19.07222,16.853857,16.005581,15.668274,15.498866,star
19.793541,17.544245,16.609791,16.253849,16.019415,star
19.713955,17.335407,16.211073,15.747266,15.523042,star
18.222101,17.235054,16.907923,16.771595,16.796965,star
20.158283,17.695076,16.672285,16.271067,16.090622,star
19.58213,17.019508,15.904145,15.461164,15.23178,star
18.777578,17.096125,16.474699,16.222845,16.093683,star
18.141317,16.594248,15.998691,15.79165,15.705891,star
18.710232,16.92782,16.24419,15.981517,15.860128,star
18.75329,17.710375,17.317974,17.173494,17.102383,star
19.752314,17.645485,16.679583,16.311556,16.092979,star
18.23597,16.529772,15.895435,15.664949,15.552238,star
18.628057,17.134869,16.657652,16.478561,16.460073,star
17.942278,16.679144,16.154026,16.052113,15.97244,star
20.306307,17.808884,16.713289,16.341085,16.078701,star
19.035259,17.783863,17.35795,17.215143,17.110527,star
17.158758,15.995026,15.531819,15.360203,15.286382,star
18.550722,17.236786,16.759722,16.607527,16.520035,star
18.102571,16.695065,16.18018,15.992141,15.912119,star
20.473753,17.754686,16.374033,15.505946,15.094742,star
17.261253,15.931702,15.465967,15.277593,15.198275,star
16.987362,15.778663,15.377559,15.200458,15.145887,star
18.24246,17.246765,16.922928,16.776539,16.736692,star
18.993111,17.300337,16.618069,16.353321,16.220486,star
19.278984,17.949158,17.440208,17.240986,17.167555,star
18.318483,17.302469,16.911011,16.702223,16.767767,star
18.029846,16.609247,16.045979,15.825087,15.76216,star
18.955168,16.807302,15.940359,15.593434,15.422637,star
19.52972,17.035717,15.937654,15.467368,15.343714,star
19.449718,17.106159,16.108841,15.68167,15.590215,star
18.497896,17.303881,16.816177,16.606813,16.517912,star
18.582943,17.450609,17.036676,16.882175,16.824741,star
17.707335,16.290253,15.784471,15.613059,15.531791,star
18.389511,17.096128,16.656507,16.498333,16.432051,star
19.027462,17.914204,17.521858,17.400206,17.348549,star
19.446243,17.308243,16.405485,16.064783,15.896454,star
19.196127,17.095913,16.200384,15.874462,15.716743,star
19.073967,16.869106,16.012835,15.650367,15.473865,star
19.944197,17.57695,16.59568,16.243786,16.094101,star
17.88575,16.294065,15.659534,15.306603,15.352455,star
19.688154,17.199007,16.107239,15.684245,15.492667,star
18.677376,17.537075,17.317047,17.295237,17.299932,star
20.307835,17.910921,16.909889,16.498173,16.233315,star
19.102808,17.773125,17.25054,17.069214,16.994953,star
18.315306,16.971046,16.425255,16.228773,16.120676,star
18.948433,17.997845,17.731766,17.599075,17.581507,star
18.812254,16.615702,15.71774,15.357861,15.223354,star
19.208204,17.934496,17.410507,17.191591,17.114223,star
19.472139,17.763695,17.042967,16.784485,16.701036,star
18.858498,17.836018,17.750557,17.766985,17.821835,star
18.379265,17.147583,16.697588,16.547459,16.481813,star
19.4834,16.976131,15.764053,15.311604,15.100573,star
18.661728,16.784985,16.035133,15.781788,15.637528,star
20.349476,17.757334,16.550825,16.079832,15.802066,star
17.968292,17.007051,16.789145,16.736734,16.70002,star
17.759943,16.146441,15.478834,15.204926,15.065145,star
19.858608,17.216349,15.974475,15.473848,15.186154,star
17.745775,16.24358,15.653141,15.463379,15.387489,star
17.158188,16.124195,15.677299,15.533434,15.459494,star
18.481922,17.399246,16.890823,16.685724,16.606064,star
19.117435,17.366945,16.547628,16.264465,16.090624,star
18.756821,17.558144,17.060326,16.792912,16.777315,star
17.487463,16.538261,16.132633,15.991116,15.957575,star
20.304035,17.585104,16.189243,15.519277,15.114933,star
17.974464,16.838659,16.975172,17.124517,17.170399,star
17.011362,15.998893,15.505964,15.326386,15.381876,star
18.26392,17.089975,16.599537,16.41888,16.283346,star
18.776588,17.768908,17.324064,17.147068,17.060236,star
18.499563,17.591263,17.315054,17.158621,17.22522,star
17.64263,16.120995,15.480082,15.180329,15.142716,star
19.396788,17.216892,16.358707,16.0319,15.873123,star
17.750149,16.706984,16.647881,16.649488,16.718435,star
17.943581,16.470753,15.889203,15.675743,15.587888,star
20.559404,17.767242,16.467564,15.897341,15.586574,star
20.01329,17.381546,16.161264,15.672346,15.343166,star
17.316618,15.997745,15.559206,15.416702,15.365063,star
20.176998,17.54505,16.267603,15.749489,15.450159,star
17.41473,16.464369,16.133034,16.003326,16.006088,star
17.35486,16.310093,15.940767,15.833628,15.782706,star
18.384222,16.244518,15.421268,15.15706,15.013377,star
20.096342,17.593925,16.436125,16.020264,15.766916,star
18.549152,17.536285,17.227999,17.102249,17.085924,star
20.239269,17.655893,16.373421,15.783444,15.454544,star
18.918692,17.743368,17.321587,17.150736,17.076824,star
19.55088,17.400505,16.542793,16.213732,16.082136,star
17.891777,16.697592,16.229322,16.06155,15.983308,star
18.427141,17.352648,16.905182,16.758238,16.68055,star
18.636663,17.812338,17.523085,17.380592,17.374052,star
18.72646,17.599394,17.182812,17.03904,16.983576,star
19.095209,17.967573,17.537777,17.394957,17.350927,star
19.104179,17.703371,17.178898,16.991119,16.891218,star
19.420469,17.481985,16.637714,16.269836,16.043249,star
18.353273,16.603098,15.914998,15.646283,15.50567,star
20.263969,17.651453,16.306864,15.444097,15.004225,star
18.193775,16.422014,15.77533,15.543929,15.42579,star
20.716894,17.91416,16.552603,15.877113,15.453221,star
19.438398,17.735275,17.095634,16.824423,16.704155,star
18.149628,17.232107,16.928797,16.70908,16.730839,star
17.692162,16.68919,16.348701,16.188572,16.164177,star
18.522827,17.495544,17.096424,16.911596,16.846865,star
18.494642,17.380037,16.933975,16.712271,16.653442,star
16.756218,15.665124,15.29286,15.122215,15.083506,star
16.976913,15.787052,15.367865,15.251755,15.195374,star
20.538546,17.936438,16.608549,15.995413,15.660309,star
18.151321,16.765184,16.232735,15.996081,15.896307,star
17.50827,16.042824,15.472967,15.271878,15.200274,star
19.44405,17.129522,16.028145,15.637747,15.408233,star
16.939857,15.919355,15.67676,15.389302,15.381255,star
18.682243,17.821146,17.521336,17.441656,17.439915,star
19.620693,17.517475,16.617294,16.3489,16.10681,star
18.602285,16.72039,15.960022,15.705015,15.60902,star
18.296576,16.846176,16.302025,16.122318,16.07654,star
19.071943,16.771639,15.843301,15.540405,15.331182,star
18.572271,17.256357,16.795172,16.619848,16.53702,star
19.448744,17.873505,17.223129,16.952906,16.799618,star
18.812851,17.766268,17.292416,17.114613,17.066301,star
